"","Heading","Date","Content"
"11","Tripura gets a new university - 'Maharaja Birbikram Viswavidyalaya'","August 10, 2015","Agartala: A new state university, Maharaja Birbikram Viswavidyalaya, will be operational from the next academic session, a state minister said today.State Higher Education minister Tapan Chakraborty said even though a central university was there, another university was necessary to meet the pressure of colleges and extend the scope of higher education in the state.He said, a bill on the university, which was placed in the last session of the Assembly, was pending for recommendations of the select committee and was passed today unanimously.
Chakraborty said, already about Rs 50 crore was spent for building infrastructure for the new university and other infrastructures would be built soon, so that the facility could be started from the next academic year.He said a state university was setup in 1987 and was converted to central university in 2007.The state has around 40 colleges including two medical colleges and every year about 20,000 students pass higher secondary examinations, the minister said adding, the new university would ease the pressure on the central university. "
"12","Encounter killing; SC comes down on Manipur government","August 10, 2015","New Delhi: The Supreme Court today said the fact that compensation has been paid to the next of kin of victims of security forces' encounter killings in Manipur ""amply indicate"" that such encounters were fake.It asked Manipur government to apprise the court of the steps taken after compensations were paid to kith and kin of deceased persons.""If you think it was a valid encounter, then why are you paying compensation? Have you challenged any of the orders?"" the social justice bench of Justices Madan B Lokur and U U Lalit said.The bench said that the fact that the compensation has been paid to the next relatives of the deceased ""amply indicate"" that encounters were fake and the question would be ""were they valid"".It gave the instance 2001 Parliament attack case and said ""no court awarded compensation to the relatives of the accused (terrorists).""However, senior advocate V Giri, appearing for the state government, said that the payment of compensation on the directions of the court is not an admission of an alleged offence.Meanwhile, the court was told by the amicus curiae that the state and the Central government and NHRC have provided a list of 62 killings that were sought to be passed-off as those of militants by security forces.The court asked Manipur government to file its reply to a petition by one Suresh Singh seeking repeal of Armed Forces Special Powers Act.Earlier, the court had asked the Centre, Manipur government and NHRC to submit a comprehensive report on alleged fake encounter cases in the state, including 62 such cases where FIRs have not even been lodged.Senior advocate Colin Gonsalves, appearing for Extra Judicial Execution Victims' Families Association, had said ""in all these 62 cases, not a single FIR has been lodged against any of the accused.""The bench had also asked Additional Solicitor General Maninder Singh, representing the Centre, and the lawyers of NHRC and the state government to provide requisite information to the amicus curiae who, in turn, will prepare a comprehensive chart of cases for the perusal of court.The erstwhile UPA government had earlier told the apex court that findings of the Supreme Court-appointed panel's report on extra-judicial killings in Manipur had been examined at the highest level."
"13","Debris of missing Pawan Hans helicopter found in Arunachal Pradesh","August 10, 2015","New Delhi: The wreckage of Pawan Hans helicopter, which went missing after taking off on August 4, has been found in Arunachal Pradesh's Tirap district.""The Air Force has confirmed that the wreckage of the missing helicopter has been found 12 km south of Khonsa, the headquarters of Tirap district,"" Minister of State for Home Kiren Rijiju told PTI here.The Union Minister said that Air Force chopper is hovering over the area where the wreckage has been found.However, the fate of the three occupants, including a young IAS officer Kamalesh Joshi, of the chopper is yet to be known.The massive search operation was launched to locate the chopper which went missing after taking off from Khonsa in Arunachal Pradesh's Tirap district on August 4."
"14","Naga pact only a 'formula', will talk to other CMs: Zeliang","August 9, 2015","New Delhi: Naga peace pact is only a ""formula"" for a final accord, Nagaland Chief Minister T R Zeliang today asserted while seeking to allay apprehensions of other northeastern states, and said that he other members of Assembly were even ready to step down to make a new beginning.Voicing confidence that other rebels groups would also come on board after the signing of agreement between NSCN-IM and the Centre, he said a 16-member Naga delegation will visit Myanmar to meet S S Khaplang, the chief of the other Naga rebel group NSCN-K which had abrogated the ceasefire agreement and attacked security personnel, including a convoy of army killing 18 soldiers in Manipur in June.""I along with all members of the Nagaland Assembly are ready to step down, if an acceptable and honourable solution is found to the Naga people, in order to make a new beginning,"" the Chief Minister, whose Naga People's Front is an NDA ally, said.His remarks are significant as the region has a history of rebels groups joining political mainstream and even assuming power after signing of peace accords.Asserting that the agreement will not affect non-Nagas and will resolve the problems of North-East, Zeliang said that he speak to other chief ministers of the region.Chief Ministers of Assam, Manipur and Arunachal Pradesh have said they will not cede an inch of their land. They have protested for being consulted before signing of the pact with NSCN-IM on Monday.""The pact signed?by Centre and NSCN-IM will help bring peace to the North-East. I will speak personally to my counterparts of neighbouring states to allay their apprehensions?over the agreement,"" Zeliang said at a press conference here, a day after meeting Prime Minister Narendra Modi.""Solving the Naga problem is solving the problems of the North-East. Non-Nagas of the North-East should not have any negative thinking about the pact with NSCN-IM,"" he said.Zeliang said the peace pact was only a formula for a final agreement and what he understood after meeting Modi and Home Minister Rajnath Singh was that the Naga political problem will?be resolved through sharing of power between the government of India and the Naga people.""Today we have trust and confidence in Prime Minister Modi,"" Zeliang said.Highlighting the key aspects of the formula, he said Naga customary system and land holding system will be respected by the Centre based on the ""unique history of Nagas"" and it will be applied across the Naga inhabited areas of the Northe East, including Assam, Manipur and Arunachal Pradesh.""This Naga issue does not pertain to only Nagaland. Naga problem is covering the entire Naga?contiguous region.""So, respecting the traditional land holding system, customary system, it covers the entire Naga (community) wherever they are...,"" he said. "
"15","Naga pact just the formula for a settlement: Zeliang","August 9, 2015","New Delhi: Nagaland Chief Minister TR Zeliang on Sunday said the Naga peace pact signed between the government and the NSCN-IM was just the formula to end decades of conflict in the state.""After meeting Prime Minister Narendra Modi, I have come to know that the Naga accord is just the formula to settle the Naga conflict. It is just the beginning of the solution,"" Zeliang told reporters.He said that after a lot of efforts the government and the National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM) had understood each other`s problems. So there was a need to solve the issue permanently, which would be possible only if there was no ""political influence"".""I am happy that the prime minister is resolute in resolving the Naga conflict. It is important that the settlement made is keeping in mind the Naga cultural system and based on their unique history. It is important that there is no political influence in the entire issue,"" he said.Asked about the inclusion of other factions of the NSCN in the peace talks, Zeliang told IANS: ""A delegation of 16 members from the civil society will meet NSCN-K (Khaplang) and, if required, the other factions too and try to persuade them to join the peace talks.""The delegation consists of Naga Hoho, the apex body of all the Naga community, and one more group. ""They have been given the security clearance by the home ministry to travel to Myanmar and held talks with the NSCN-K, which has significant presence in Nagaland. We hope things are successful,"" he said.In recent times, NSCN-K chief S.S. Khaplang has signed a pact with the Myanmar government, paving the way for grant of autonomy to the NSCN-K in Sagaing -- a northwestern administrative region of Myanmar.The agreement also allows NSCN-K members to move unarmed across the country and to open a sub-office in the region.Zeliang said the final results of the Naga Accord was expected by the end of this year.He also said that allegations by Nagaland`s neighbouring states that they were not consulted over the Naga accord was false and they were all aware of it.""There is a difference between active participation and consultation. Consultation with the northeastern states was very much there before signing the Naga accord,"" he said.Zeliang will meet the Naga peace talks interlocuter R.N. Ravi on August 16.On August 3, the NSCN-IM and the central government signed an accord, after almost 20 years of negotiation."
"16","Rashtriya Rifles sepoy laid to rest with military honours","August 8, 2015","Aizawl: Sepoy Lalramchhana (23) of Rashtriya Rifles, who was killed in a firing in Jammu and Kashmir on August 4, was accorded a funeral with full military honours at his native Ratu village on Mizoram-Manipur border on Saturday.Official sources said Lalramchhana's body was flown to Aizawl from Delhi and taken to his native Ratu village yesterday.He died along with another soldier in a firing by his own battalion personnel who mistook them for terrorists operating in the area, the sources added."
"17","Pawan Hans chopper​ untraced for fifth day","August 8, 2015","Itanagar: Mystery continued to shroud the fate of the missing Pawan Hans chopper in Arunachal Pradesh with three people on board as search parties failed to trace it for the fifth day on Saturday.Five choppers including M-17, A1-30 and a Chetak of the Army and Indian Air Force conducted 11 sorties during the day, while Army, IRB, state police and locals conducted ground search in Tirap district to trace the chopper but in vain, state civil aviation secretary BM Mishra said.""We are trying to utilise all available resources to locate the chopper as per available leads from the locals who claimed to have sighted the chopper on the day it went missing. Despite our all-out efforts we have not succeeded till now,"" Mishra added.The search operation is concentrated in the thick jungles between Sanliam and Dadam villages in Tirap district.Some search teams are camping in the jungles between these two villages, District Information and Public Relation Officier (DIPRO) Dehang Bosai informed from Khonsa.A Sukhoi conducted a numbers of recce in the past two days but failed to scan the probable area which is covered with dense forest.The Dauphin chopper of state-run Pawan Hans went missing with Tirap Deputy Commissioner Kamlesh Kumar Joshi and two pilots Captain MS Brar and Captain Rajeev Hoskote, after it had taken off from Khonsa in Tirap district at around 10.45 am on Tuesday.Joshi's relatives, including his wife have arrived at Khonsa.Director General of Civil Aviation has ordered a preliminary inquiry into the incident, while Pawan Hans authorities deputed teams from New Delhi and Guwahati and ordered an internal inquiry.The district administration has also announced incentives for villagers engaged in the search."
"18","Cabinet Secretary reviews search operation of missing chopper in Arunachal Pradesh","August 8, 2015","New Delhi: With no trace of the missing Pawan Hans helicopter in Arunachal Pradesh for fifth day, the Centre on Saturday directed that all available human and technical inputs, including satellite imagery, be deployed to locate the chopper and its three occupants.Cabinet Secretary Pradeep Kumar Sinha reviewed the ongoing search operations of the missing chopper with two pilots and Tirap Deputy Commissioner Kamlesh Kumar Joshi onboard in Arunachal Pradesh.The Cabinet Secretary has directed that all available technical (including satellite imagery) and human inputs must be deployed by both the state and central government to locate the missing officers and the helicopter, an official statement said.Earlier, Union Home Secretary LC Goyal also reviewed the search operations at a high-level review meeting with state and central government agencies involved with the search operation.The meeting was attended by the Defence Secretary, the Telecom Secretary and senior officers of Arunachal Pradesh government and Ministries of External Affairs, armed forces and central intelligence and security agencies.The Dauphin chopper of state-run Pawan Hans went missing with Tirap DC and two pilots - Captain MS Brar and Captain Rajeev Hoskote after it took-off from Khonsa in Tirap district at around 10.45 am on August 4.The Director General of Civil Aviation has ordered a preliminary inquiry into the incident, while Pawan Hans authorities deputed teams from New Delhi and Guwahati and ordered an internal inquiry.The district administration has also announced incentives for villagers engaged in the search."
"19","Make public details of Naga Peace Accord: Manipur Deputy CM ","August 8, 2015","Imphal: Manipur Deputy Chief Minister Gaikhangam has called upon the people to come forward and fight together if the recent peace agreement between the Centre and National Socialist Council of Nagaland (IM) group disturbed the territorial integrity of Manipur.Demanding the details of the agreement reached on August 3, Gaikhangam who is also the president of Manipur Pradesh Congree Committee, told reporters here yesterday that the peace agreement was made without consulting the neigbouring states of Nagaland ""which was very doubtful and also against Indian federalism"".The details of the peace accord, which has been claimed by Prime Minister Narendra Modi as historic achievement of his NDA government, was not given to the public which, he said, had raised suspicion in the mind of the people.Gaikhangam welcomed the peace accord which would bring about lasting peace in Nagaland, but said it should not disturb the interests of other states in the northeast.If the accord was in the best interests of the people of the country, details should be declared publicly.Stating that there were several accords in the country which were declared publicly, the Deputy Chief Minister asked why the Union government failed to announce this accord before the public.He said Chief Minister Okram Ibobi Singh airdashed to New Delhi yesterday to meet Union Home Minister Rajnath Singh to collect a copy of the said peace accord as the Manipur government could not get details of the same despite submission of requests to the Centre.He urged the Centre to provide a copy of the peace accord immediately to the Manipur government. "
"20","Manipur's interests to be protected fully: Rajnath Singh to CM Ibobi","August 8, 2015","New Delhi: The Centre on Saturday assured Manipur that its interests will be full protected while signing the final agreement with NSCN-IM.This was conveyed by Union Home Minister Rajnath Singh to Manipur Chief Minister O Ibobi Singh when the latter met him here.Official sources said the Home Minister also allayed fears of change of geography of Northeastern states by assuring that Chief Ministers of the region would be consulted before the final agreement with NSCN-IM was signed.Rajnath Singh told O Ibobi Singh that the central government has made it clear to NSCN-IM that their main demand of integration of Naga inhabitated areas would not be met but more powers would be given to local bodies like autonomous district councils, the sources said.The Manipur Chief Minister, along with his counterparts in Assam and Arunachal Pradesh, had protested for not having consulted the neighbouring states of Nagaland before signing the initial accord with NSCN-IM on Monday.The NSCN-IM, which had given up its original demand of sovereignty a few years ago, has been asking for integration of Naga inhabitated areas in Manipur, Arunachal Pradesh and Assam. All three states are opposed to the outfit's demand.Sources said the Home Minister explained to the Chief Minister that a framework has been laid in Monday's agreement and the final pact will be signed only after detailed discussions in coming months. "
"21","Manipur: Six police personnel suspended in connection with student death","August 8, 2015","Imphal: Six police personnel have been suspended in Manipur in connection with the killing of a class XI student during a confrontation with the police at a rally demanding implementation of Inner Line Permit system on July 8 last.The suspension order was issued yesterday by the Superintendent of Police, Imphal East district, Kamei Angam Romanus, a police officer said.The suspended police constables are Lisham Soven Singh, Loukham Tiken Singh, Md Radikafoor, Nongthongbam Sunil Singh, Mutum Guneshwar Singh and K Starson Tarao.Meanwhile, the body of the student, Sapam Roninhood was lying at the mortuary of Jawaharlal Nehru Institute of Medical Sciences, Imphal East district since July 8 last.No one has claimed it for performing the last rites nor has customary proceedings done about disposal of the body, the police said.It was a month-long pending demand of the students wing of JCILPS and JCILPS to take action against the police personnel who were involved in the student's death.Sapam Robin Hood of Anand Singh Higher Secondary School was hit on the face by tear gas shells lobbed by the police to quell a protest in support of the movement on July 8 last.He was rushed to the hospital where the boy succumbed to the injuries after which curfew was imposed in Greater Imphal area.Sapam was among a large number of students from leading schools of Imphal who joined the protesters to demand the introduction of a bill in the assembly session, for Inner Line Permit system in the state."
"22","Rifles seized in Mizoram","August 8, 2015","Aizawl: In a joint operation, the Mizoram Police and Assam Rifles personnel seized two M-3 rifles and three magazines at Mizoram-Manipur-Myanmar border Hnahlan village on Friday, police said.Police said that Chingsianpianga (36) of Darkhai village, Myanmar was arrested in this connection and a case was filed against the latter at Champhai police station where he was being detained.Interrogations revealed that the arms were smuggled from Myanmar."
"23","Naga accord: Won't cede an inch of land, say Assam, Arunachal, Manipur CMs","August 7, 2015","New Delhi: Trouble seems to be brewing over the Naga accord with Chief Ministers of Assam, Arunachal Pradesh and Manipur on Friday attacking the Centre for not consulting them over it and declaring that they will not cede an inch of their land.""If a single inch of territorial area of Manipur is taken, we will fight tooth and nail,"" Manipur Chief Minister Okram Ibobi Singh told reporters targeting the Narendra Modi dispensation.A 'greater Nagalim' or integration of Naga-inhabited has been the main demand of NSCN-IM, with whom the Centre signed the agreement on August 3 aiming to end the decades-long insurgency in the northeastern state. It is, however, unclear whether the 'greater Nagalim' demand has been accepted. Details and execution plan within the framework agreement are yet to be released.Nagaland's neighbours Manipur, Assam and Arunachal Pradesh are opposed to integration of Naga-inhabited areas.Assam Chief Minister Tarun Gogoi accused Modi of ""blatantly violating"" the spirit of cooperative federalism and parliamentary democracy by not consulting him and his Arunachal Pradesh and Manipur counterparts over such an important matter.""I doubt whether the Chief Minister of Nagaland has been consulted,"" he said while Arunachal Pradesh Chief Minister Nabam Tuki was of the view that the accord has come as a ""surprise"" as the Prime Minister ""forgot"" to contact the Congress chief ministers concerned.Tuki said that he welcomed the peace process, but this should be done ""without compromising territorial integrity"" while Gogoi wondered as to why the accord has been kept secret, ""if it affects ...States, we will oppose tooth and nail"".Congress chief spokesman Randeep Surjewala targeted the Modi government for ""keeping the three elected state governments in complete dark"" with no involvement either in the process of negotiations or finalisation of terms of peace agreement.Addressing a joint press conference at the Congress headquarters along with the three chief ministers and Congress general secretaries V Narainsamy and C P Joshi, he also hit out at Union minister Nirmala Sitharaman accusing her of deliberately misleading the nation on the issue.Surjewala alleged that Sitharaman told a ""patent lie"" thatthe chief ministers were called for a meeting to discuss the peace agreement, but they refused to come.He said it is ""foolhardy"" to question wisdom of three seniormost chief ministers of the country.According to the Manipur chief minister, he called up Home Minister Rajnath Singh and wanted to know about the accord and he said he will give full text, but ""we didn't get any till this moment"".Seeking to show the Modi government in poor light, Gogoi said that over a decade ago the Vajpayee government had consulted the states even on the issue of extention of ceasefire agreement with the Naga insurgent group.He also took exception to the accord being signed by R N Ravi who has been the interlocutor for the Naga talks and said that it should have been signed either by the Home Minister or the Home Secretary on behalf of the Centre.Hitting out at Sitharaman, Surjewala said that neither the prime minister nor the government circulated orally or in writing any agenda regarding Naga peace accord to the party chief ministers.Taking a dig at the Prime Minister, he said that for the first time there was a peace agreement in the history of India which the ""Cabinet never discussed it, nor was MHA informed"".Asked as to what is the future course of action, the chief ministers said that it would be decided only after the Centre releases the details of the agreement. "
"24","Kidnapped Meghalaya official freed","August 7, 2015","Shillong: A Meghalaya sports official kidnapped for ransom by militant group Garo National Liberation Army was released unharmed on Friday after 28 days in captivity, police said.District Sports Officer Aribam Nilakunjamani Sharma, 53, posted in South Garo Hills bordering Bangladesh, was freed by the GNLA, Meghalaya Special Director General of Police Sunil Kumar Jain said.""He has reached his home at Baghmara (the district headquarters of South Garo Hills) after he boarded a morning bus to Baghmara. We (police) have not been able to talk to him as he is in a state of trauma,"" Jain told a news agency.On July 10, Sharma, a native of Manipur, was kidnapped from Kherapara area in West Garo Hills district by seven GNLA terrorists led by their ""area commander"" Heidio Momin.An intelligence official said Sharma was released after the rebels were paid a ransom of Rs 20 lakh somewhere in Garo Hills.""Initially, the GNLA demanded a ransom of Rs 50 lakh. However, the family members of the hostage negotiated with the kidnappers on the ransom amount, keeping in mind Sharma`s safety,"" he said on the condition of anonymity.However, the family denied paying any ransom money to the rebels. ""No ransom money was paid to them. They set him free unconditionally,"" sources close to the family members said.The outlawed group is fighting for a separate Garoland in the western part of Meghalaya. "
"25","Naga peace accord: Congress accuses PM Modi of 'misleading' nation","August 7, 2015","New Delhi: The Congress on Friday accused Prime Minister Narendra Modi of `misleading` the nation over the Naga peace accord and added that the former has violated the principles of cooperative federalism by not consulting the chief ministers of Arunachal Pradesh, Assam and Manipur over the matter.""Not consulting the Chief Ministers of the three affected states Arunachal, Assam and Manipur by the Prime Minister is a gross violation of the principles of cooperative federalism. What is most dismaying is that Nirmala Sitharaman yesterday misled nation when she said that the three chief ministers were invited for talks but they refused. Prime Minister Modi has misled the nation,"" said Congress spokesperson Randeep Surjewala.""We want to state that the Prime Minister or the Modi Government did not state or circulate orally or in writing any agenda regarding Naga peace accord,"" he added.He further said that the Congress fully supports the attempt to find a lasting peaceful solution of Naga problem but within the `constitutional framework`.""The Congress has steadfastly championed and sacrificed for upholding territorial integrity of India and finding lasting peaceful solutions to various insurgencies and militancy in different parts of India. On 3rd August 2015 the Modi Government entered into a Naga peace agreement with NSCN (IM),"" said Surjewala.""Congress fully supports the attempt to find a lasting peaceful solution of Naga problem within our constitutional framework. It is with this view in mind that Congress has welcomed initiative of Govt for a peace agreement with NSCN (IM), we also deprecate in strongest possible terms, attempt by certain elements within ruling establishment to politicise peace agreement in interest of the country,"" he added.The Government of India and the National Socialist Council of Nagaland (NSCN) on Monday successfully concluded the dialogue on Naga political issue and signed an agreement in Prime Minister Modi`s presence.In his statement at the signing ceremony, the Prime Minister lauded the courage and wisdom of the Naga leaders and civil society and thanked them for their co-operation in reaching the agreement.  "
